@relation /TRAINING-SET1.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
253,255,127.5,255,2,1.0,2,257,128.5,257,253,126.5,253,2,0,1,NO
193,193,193.0,193,0,0.0,0,193,193.0,193,193,193.0,193,1,0,1,NO
514,514,514.0,514,0,0.0,0,514,514.0,514,514,514.0,514,1,0,1,NO
204,204,204.0,204,0,0.0,0,204,204.0,204,204,204.0,204,1,0,1,NO
144,144,144.0,144,0,0.0,0,144,144.0,144,144,144.0,144,1,0,1,NO
98,98,98.0,98,0,0.0,0,98,98.0,98,98,98.0,98,1,0,1,NO
181,203,29.0,203,22,3.142857,22,225,32.142857,225,189,27.0,189,7,0,3,NO
154,162,40.5,162,8,2.0,8,170,42.5,170,154,38.5,154,4,0,3,NO
393,489,44.454544,489,96,8.727273,96,585,53.18182,585,399,36.272728,399,11,0,3,NO
132,139,46.333332,139,7,2.3333333,7,146,48.666668,146,132,44.0,132,3,0,3,NO
533,556,69.5,556,23,2.875,23,579,72.375,579,535,66.875,535,8,0,3,NO
603,683,75.888885,683,80,8.888889,80,763,84.77778,763,607,67.44444,607,9,0,3,NO
148,148,148.0,148,0,0.0,0,148,148.0,148,148,148.0,148,1,0,1,NO
174,184,61.333332,184,10,3.3333333,10,194,64.666664,194,174,58.0,174,3,0,2,NO
148,158,52.666668,158,10,3.3333333,10,168,56.0,168,148,49.333332,148,3,0,2,NO
92,834,139.0,834,742,123.666664,742,1576,262.66666,1576,1442,240.33333,1442,6,0,3,NO
234,438,73.0,438,204,34.0,204,642,107.0,642,234,39.0,234,6,0,3,NO
54,59,19.666666,59,5,1.6666666,5,64,21.333334,64,54,18.0,54,3,0,3,NO
38,43,21.5,43,5,2.5,5,48,24.0,48,38,19.0,38,2,0,2,NO
98,102,51.0,102,4,2.0,4,106,53.0,106,98,49.0,98,2,0,2,NO
39,49,16.333334,49,10,3.3333333,10,59,19.666666,59,39,13.0,39,3,0,2,NO
69,98,32.666668,98,29,9.666667,29,127,42.333332,127,119,39.666668,119,3,0,3,NO
94,94,94.0,94,0,0.0,0,94,94.0,94,94,94.0,94,1,0,1,NO
72,72,72.0,72,0,0.0,0,72,72.0,72,72,72.0,72,1,0,1,NO
42,42,42.0,42,0,0.0,0,42,42.0,42,42,42.0,42,1,0,1,NO
48,56,18.666666,56,8,2.6666667,8,64,21.333334,64,48,16.0,48,3,0,2,NO
63,67,33.5,67,4,2.0,4,71,35.5,71,63,31.5,63,2,0,2,NO
237,257,128.5,257,20,10.0,20,277,138.5,277,237,118.5,237,2,0,2,NO
133,139,46.333332,139,6,2.0,6,145,48.333332,145,133,44.333332,133,3,0,2,NO
137,150,37.5,150,13,3.25,13,163,40.75,163,137,34.25,137,4,0,2,NO
177,181,60.333332,181,4,1.3333334,4,185,61.666668,185,177,59.0,177,3,0,2,NO
46,47,23.5,47,1,0.5,1,48,24.0,48,46,23.0,46,2,0,2,NO
128,137,27.4,137,9,1.8,9,146,29.2,146,128,25.6,128,5,0,3,NO
149,152,50.666668,152,3,1.0,3,155,51.666668,155,149,49.666668,149,3,0,2,NO
58,59,29.5,59,1,0.5,1,60,30.0,60,58,29.0,58,2,0,2,NO
149,152,76.0,152,3,1.5,3,155,77.5,155,149,74.5,149,2,0,2,NO
74,78,39.0,78,4,2.0,4,82,41.0,82,74,37.0,74,2,0,2,NO
37,37,37.0,37,0,0.0,0,37,37.0,37,37,37.0,37,1,0,1,NO
38,40,20.0,40,2,1.0,2,42,21.0,42,38,19.0,38,2,0,2,NO
39,40,20.0,40,1,0.5,1,41,20.5,41,39,19.5,39,2,0,2,NO
96,107,26.75,107,11,2.75,11,118,29.5,118,96,24.0,96,4,0,2,NO
88,91,30.333334,91,3,1.0,3,94,31.333334,94,88,29.333334,88,3,0,2,NO
71,78,19.5,78,7,1.75,7,85,21.25,85,71,17.75,71,4,0,2,NO
114,123,30.75,123,9,2.25,9,132,33.0,132,114,28.5,114,4,0,2,NO
336,414,69.0,414,78,13.0,78,492,82.0,492,336,56.0,336,6,0,3,NO
84,93,23.25,93,9,2.25,9,102,25.5,102,84,21.0,84,4,0,2,NO
58,63,21.0,63,5,1.6666666,5,68,22.666666,68,58,19.333334,58,3,0,2,NO
123,130,32.5,130,7,1.75,7,137,34.25,137,123,30.75,123,4,0,2,NO
369,369,369.0,369,0,0.0,0,369,369.0,369,369,369.0,369,1,0,1,NO
231,243,48.6,243,12,2.4,12,255,51.0,255,231,46.2,231,5,0,2,NO
586,645,161.25,645,59,14.75,59,704,176.0,704,586,146.5,586,4,0,2,NO
366,390,78.0,390,24,4.8,24,414,82.8,414,366,73.2,366,5,0,2,NO
99,108,27.0,108,9,2.25,9,117,29.25,117,99,24.75,99,4,0,2,NO
41,41,41.0,41,0,0.0,0,41,41.0,41,41,41.0,41,1,0,1,NO
66,79,39.5,79,13,6.5,13,92,46.0,92,66,33.0,66,2,0,2,NO
54,55,18.333334,55,1,0.33333334,1,56,18.666666,56,54,18.0,54,3,0,3,NO
47,51,25.5,51,4,2.0,4,55,27.5,55,47,23.5,47,2,0,2,NO
183,203,50.75,203,20,5.0,20,223,55.75,223,187,46.75,187,4,0,3,NO
49,49,49.0,49,0,0.0,0,49,49.0,49,49,49.0,49,1,0,1,NO
50,50,50.0,50,0,0.0,0,50,50.0,50,50,50.0,50,1,0,1,NO
98,100,50.0,100,2,1.0,2,102,51.0,102,98,49.0,98,2,0,2,NO
138,138,138.0,138,0,0.0,0,138,138.0,138,138,138.0,138,1,0,1,NO
43,43,43.0,43,0,0.0,0,43,43.0,43,43,43.0,43,1,0,1,NO
42,42,42.0,42,0,0.0,0,42,42.0,42,42,42.0,42,1,0,1,NO
56,56,56.0,56,0,0.0,0,56,56.0,56,56,56.0,56,1,0,1,NO
162,163,81.5,163,1,0.5,1,164,82.0,164,162,81.0,162,2,0,2,NO
6367,12222,6111.0,12222,5855,2927.5,5855,18077,9038.5,18077,6367,3183.5,6367,2,0,2,NO
153,155,77.5,155,2,1.0,2,157,78.5,157,153,76.5,153,2,0,2,NO
43,43,43.0,43,0,0.0,0,43,43.0,43,43,43.0,43,1,0,1,NO
41,42,21.0,42,1,0.5,1,43,21.5,43,41,20.5,41,2,0,2,NO
105,155,51.666668,155,50,16.666666,50,205,68.333336,205,105,35.0,105,3,0,2,NO
105,148,29.6,148,43,8.6,43,191,38.2,191,105,21.0,105,5,0,3,NO
92,126,31.5,126,34,8.5,34,160,40.0,160,92,23.0,92,4,0,3,NO
101,151,50.333332,151,50,16.666666,50,201,67.0,201,101,33.666668,101,3,0,2,NO
45,45,45.0,45,0,0.0,0,45,45.0,45,45,45.0,45,1,0,1,NO
289,290,145.0,290,1,0.5,1,291,145.5,291,289,144.5,289,2,0,2,NO
32,35,17.5,35,3,1.5,3,38,19.0,38,32,16.0,32,2,0,2,NO
111,111,111.0,111,0,0.0,0,111,111.0,111,111,111.0,111,1,0,1,NO
35,36,18.0,36,1,0.5,1,37,18.5,37,35,17.5,35,2,0,2,NO
81,81,81.0,81,0,0.0,0,81,81.0,81,81,81.0,81,1,0,1,NO
27,27,27.0,27,0,0.0,0,27,27.0,27,27,27.0,27,1,0,1,NO
28,28,28.0,28,0,0.0,0,28,28.0,28,28,28.0,28,1,0,1,NO
29,30,15.0,30,1,0.5,1,31,15.5,31,29,14.5,29,2,0,2,NO
566,600,150.0,600,34,8.5,34,634,158.5,634,566,141.5,566,4,0,3,NO
64,80,40.0,80,16,8.0,16,96,48.0,96,64,32.0,64,2,0,2,NO
29,30,15.0,30,1,0.5,1,31,15.5,31,29,14.5,29,2,0,2,NO
64,65,32.5,65,1,0.5,1,66,33.0,66,64,32.0,64,2,0,2,NO
37,40,20.0,40,3,1.5,3,43,21.5,43,37,18.5,37,2,0,2,NO
68,79,39.5,79,11,5.5,11,90,45.0,90,68,34.0,68,2,0,2,NO
154,165,55.0,165,11,3.6666667,11,176,58.666668,176,154,51.333332,154,3,0,2,NO
72,73,36.5,73,1,0.5,1,74,37.0,74,72,36.0,72,2,0,2,NO
385,400,66.666664,400,15,2.5,15,415,69.166664,415,385,64.166664,385,6,0,3,NO
76,78,39.0,78,2,1.0,2,80,40.0,80,76,38.0,76,2,0,2,NO
159,163,54.333332,163,4,1.3333334,4,167,55.666668,167,159,53.0,159,3,0,2,NO
737,886,295.33334,886,149,49.666668,149,1035,345.0,1035,737,245.66667,737,3,0,2,NO
74,76,38.0,76,2,1.0,2,78,39.0,78,74,37.0,74,2,0,2,NO
94,97,32.333332,97,3,1.0,3,100,33.333332,100,94,31.333334,94,3,0,2,NO
22,22,22.0,22,0,0.0,0,22,22.0,22,22,22.0,22,1,0,1,NO
427,439,146.33333,439,12,4.0,12,451,150.33333,451,427,142.33333,427,3,0,2,NO
62,62,62.0,62,0,0.0,0,62,62.0,62,62,62.0,62,1,0,1,NO
58,59,29.5,59,1,0.5,1,60,30.0,60,58,29.0,58,2,0,2,NO
91,96,48.0,96,5,2.5,5,101,50.5,101,91,45.5,91,2,0,2,NO
27,28,14.0,28,1,0.5,1,29,14.5,29,27,13.5,27,2,0,2,NO
77,79,39.5,79,2,1.0,2,81,40.5,81,77,38.5,77,2,0,2,NO
704,742,247.33333,742,38,12.666667,38,780,260.0,780,704,234.66667,704,3,0,2,NO
63,67,33.5,67,4,2.0,4,71,35.5,71,63,31.5,63,2,0,2,NO
37,37,37.0,37,0,0.0,0,37,37.0,37,37,37.0,37,1,0,1,NO
64,65,32.5,65,1,0.5,1,66,33.0,66,64,32.0,64,2,0,2,NO
124,127,63.5,127,3,1.5,3,130,65.0,130,124,62.0,124,2,0,2,NO
160,167,41.75,167,7,1.75,7,174,43.5,174,160,40.0,160,4,0,2,NO
36,41,20.5,41,5,2.5,5,46,23.0,46,36,18.0,36,2,0,2,NO
58,60,30.0,60,2,1.0,2,62,31.0,62,58,29.0,58,2,0,2,NO
62,62,62.0,62,0,0.0,0,62,62.0,62,62,62.0,62,1,0,1,NO
130,142,35.5,142,12,3.0,12,154,38.5,154,130,32.5,130,4,0,2,NO
74,76,38.0,76,2,1.0,2,78,39.0,78,74,37.0,74,2,0,2,NO
83,86,28.666666,86,3,1.0,3,89,29.666666,89,83,27.666666,83,3,0,2,NO
74,74,74.0,74,0,0.0,0,74,74.0,74,74,74.0,74,1,0,1,NO
48,50,25.0,50,2,1.0,2,52,26.0,52,48,24.0,48,2,0,2,NO
60,61,30.5,61,1,0.5,1,62,31.0,62,60,30.0,60,2,0,2,NO
70,76,25.333334,76,6,2.0,6,82,27.333334,82,70,23.333334,70,3,0,2,NO
183,202,50.5,202,19,4.75,19,221,55.25,221,183,45.75,183,4,0,2,NO
53,53,53.0,53,0,0.0,0,53,53.0,53,53,53.0,53,1,0,1,NO
452,472,118.0,472,20,5.0,20,492,123.0,492,452,113.0,452,4,0,2,NO
39,39,39.0,39,0,0.0,0,39,39.0,39,39,39.0,39,1,0,1,NO
78,82,41.0,82,4,2.0,4,86,43.0,86,78,39.0,78,2,0,2,NO
64,65,32.5,65,1,0.5,1,66,33.0,66,64,32.0,64,2,0,2,NO
31,32,16.0,32,1,0.5,1,33,16.5,33,31,15.5,31,2,0,2,NO
57,61,30.5,61,4,2.0,4,65,32.5,65,57,28.5,57,2,0,2,NO
104,111,55.5,111,7,3.5,7,118,59.0,118,104,52.0,104,2,0,2,NO
32,32,32.0,32,0,0.0,0,32,32.0,32,32,32.0,32,1,0,1,NO
227,279,93.0,279,52,17.333334,52,331,110.333336,331,227,75.666664,227,3,0,2,NO
197,208,52.0,208,11,2.75,11,219,54.75,219,197,49.25,197,4,0,3,NO
75,81,40.5,81,6,3.0,6,87,43.5,87,75,37.5,75,2,0,2,NO
28,28,28.0,28,0,0.0,0,28,28.0,28,28,28.0,28,1,0,1,NO
52,54,27.0,54,2,1.0,2,56,28.0,56,52,26.0,52,2,0,2,NO
429,506,168.66667,506,77,25.666666,77,583,194.33333,583,429,143.0,429,3,0,2,NO
103,134,67.0,134,30,15.0,30,164,82.0,164,104,52.0,104,2,0,2,NO
35,35,35.0,35,0,0.0,0,35,35.0,35,35,35.0,35,1,0,1,NO
98,99,49.5,99,1,0.5,1,100,50.0,100,98,49.0,98,2,0,2,NO
79,94,31.333334,94,15,5.0,15,109,36.333332,109,79,26.333334,79,3,0,2,NO
